"","WEEK_OPEN","YEAR_OPEN","count"
"1","00","2007",11
"2","00","2008",1
"3","00","2014",4
"4","00","2015",1
"5","01","2010",2
"6","01","2011",2
"7","01","2012",1
"8","01","2013",1
"9","01","2014",7
"10","01","2015",10
"11","01","2016",89
"12","02","2009",1
"13","02","2010",1
"14","02","2013",1
"15","02","2014",3
"16","02","2015",13
"17","02","2016",99
"18","03","2005",1
"19","03","2007",5
"20","03","2012",2
"21","03","2013",1
"22","03","2014",5
"23","03","2015",13
"24","03","2016",84
"25","04","2000",1
"26","04","2009",1
"27","04","2011",1
"28","04","2012",1
"29","04","2013",3
"30","04","2014",12
"31","04","2015",18
"32","04","2016",104
"33","05","2007",1
"34","05","2010",2
"35","05","2013",3
"36","05","2014",7
"37","05","2015",16
"38","05","2016",116
"39","06","2008",1
"40","06","2011",1
"41","06","2013",4
"42","06","2014",9
"43","06","2015",17
"44","06","2016",93
"45","07","2007",1
"46","07","2010",2
"47","07","2012",4
"48","07","2013",1
"49","07","2014",3
"50","07","2015",12
"51","07","2016",99
"52","08","2006",1
"53","08","2009",1
"54","08","2012",2
"55","08","2013",20
"56","08","2014",6
"57","08","2015",82
"58","08","2016",127
"59","09","2002",1
"60","09","2011",4
"61","09","2012",2
"62","09","2013",6
"63","09","2014",4
"64","09","2015",21
"65","09","2016",112
"66","10","2009",2
"67","10","2011",2
"68","10","2012",1
"69","10","2014",9
"70","10","2015",25
"71","10","2016",97
"72","11","2007",1
"73","11","2008",1
"74","11","2010",1
"75","11","2011",2
"76","11","2012",1
"77","11","2013",3
"78","11","2014",9
"79","11","2015",11
"80","11","2016",73
"81","12","1997",1
"82","12","2005",1
"83","12","2009",2
"84","12","2010",1
"85","12","2011",3
"86","12","2012",1
"87","12","2013",4
"88","12","2014",6
"89","12","2015",14
"90","12","2016",108
"91","13","1993",1
"92","13","2010",1
"93","13","2011",1
"94","13","2012",2
"95","13","2013",5
"96","13","2014",9
"97","13","2015",17
"98","13","2016",93
"99","14","2009",2
"100","14","2011",1
"101","14","2012",2
"102","14","2013",8
"103","14","2014",8
"104","14","2015",11
"105","14","2016",102
"106","15","1999",1
"107","15","2007",1
"108","15","2010",2
"109","15","2011",1
"110","15","2012",1
"111","15","2013",6
"112","15","2014",5
"113","15","2015",21
"114","15","2016",107
"115","16","2002",1
"116","16","2006",2
"117","16","2007",1
"118","16","2008",2
"119","16","2010",3
"120","16","2011",2
"121","16","2012",3
"122","16","2013",5
"123","16","2014",8
"124","16","2015",13
"125","16","2016",105
"126","17","2007",5
"127","17","2009",2
"128","17","2011",1
"129","17","2012",5
"130","17","2013",5
"131","17","2014",13
"132","17","2015",17
"133","17","2016",75
"134","18","2008",1
"135","18","2010",2
"136","18","2012",1
"137","18","2013",5
"138","18","2014",13
"139","18","2015",26
"140","18","2016",131
"141","19","1997",1
"142","19","2003",1
"143","19","2009",1
"144","19","2010",4
"145","19","2011",1
"146","19","2012",1
"147","19","2013",5
"148","19","2014",7
"149","19","2015",19
"150","19","2016",90
"151","20","2007",3
"152","20","2008",1
"153","20","2009",2
"154","20","2010",2
"155","20","2012",4
"156","20","2013",7
"157","20","2014",10
"158","20","2015",18
"159","20","2016",94
"160","21","2010",4
"161","21","2011",3
"162","21","2012",3
"163","21","2013",4
"164","21","2014",3
"165","21","2015",23
"166","21","2016",105
"167","22","1997",2
"168","22","2006",1
"169","22","2007",1
"170","22","2008",1
"171","22","2012",1
"172","22","2013",3
"173","22","2014",5
"174","22","2015",27
"175","22","2016",103
"176","23","1996",1
"177","23","2010",1
"178","23","2011",2
"179","23","2012",4
"180","23","2013",13
"181","23","2014",7
"182","23","2015",22
"183","23","2016",87
"184","24","2002",1
"185","24","2006",1
"186","24","2010",2
"187","24","2011",2
"188","24","2012",3
"189","24","2013",6
"190","24","2014",9
"191","24","2015",34
"192","24","2016",106
"193","25","2010",1
"194","25","2011",1
"195","25","2013",5
"196","25","2014",3
"197","25","2015",29
"198","26","2005",1
"199","26","2006",1
"200","26","2011",2
"201","26","2012",6
"202","26","2013",3
"203","26","2014",4
"204","26","2015",34
"205","27","2005",1
"206","27","2006",1
"207","27","2010",2
"208","27","2011",1
"209","27","2012",1
"210","27","2013",5
"211","27","2014",16
"212","27","2015",39
"213","28","2003",1
"214","28","2008",1
"215","28","2011",3
"216","28","2012",3
"217","28","2013",2
"218","28","2014",11
"219","28","2015",41
"220","29","2005",1
"221","29","2008",1
"222","29","2009",1
"223","29","2010",1
"224","29","2011",1
"225","29","2013",5
"226","29","2014",8
"227","29","2015",32
"228","30","2003",1
"229","30","2008",1
"230","30","2009",4
"231","30","2012",1
"232","30","2013",4
"233","30","2014",5
"234","30","2015",30
"235","31","2004",1
"236","31","2005",1
"237","31","2006",1
"238","31","2008",1
"239","31","2009",1
"240","31","2010",2
"241","31","2011",4
"242","31","2013",3
"243","31","2014",7
"244","31","2015",37
"245","32","2005",1
"246","32","2008",1
"247","32","2009",1
"248","32","2011",2
"249","32","2012",1
"250","32","2013",7
"251","32","2014",7
"252","32","2015",41
"253","33","2006",1
"254","33","2010",1
"255","33","2012",3
"256","33","2013",8
"257","33","2014",14
"258","33","2015",49
"259","34","1999",1
"260","34","2001",1
"261","34","2007",1
"262","34","2011",4
"263","34","2012",4
"264","34","2013",2
"265","34","2014",4
"266","34","2015",51
"267","35","2005",1
"268","35","2007",1
"269","35","2011",3
"270","35","2012",4
"271","35","2013",6
"272","35","2014",3
"273","35","2015",48
"274","36","2006",1
"275","36","2009",1
"276","36","2010",3
"277","36","2013",6
"278","36","2014",16
"279","36","2015",38
"280","37","2004",1
"281","37","2006",1
"282","37","2007",1
"283","37","2010",1
"284","37","2012",2
"285","37","2013",5
"286","37","2014",14
"287","37","2015",64
"288","38","2007",1
"289","38","2009",3
"290","38","2011",1
"291","38","2012",1
"292","38","2013",4
"293","38","2014",9
"294","38","2015",51
"295","39","2010",1
"296","39","2011",1
"297","39","2012",4
"298","39","2013",4
"299","39","2014",16
"300","39","2015",61
"301","40","2007",1
"302","40","2008",4
"303","40","2009",5
"304","40","2011",1
"305","40","2012",6
"306","40","2013",8
"307","40","2014",8
"308","40","2015",36
"309","41","2004",1
"310","41","2007",1
"311","41","2008",1
"312","41","2009",1
"313","41","2011",2
"314","41","2012",2
"315","41","2013",7
"316","41","2014",10
"317","41","2015",57
"318","42","2001",3
"319","42","2009",1
"320","42","2010",1
"321","42","2011",3
"322","42","2012",4
"323","42","2013",5
"324","42","2014",27
"325","42","2015",73
"326","43","2007",1
"327","43","2009",2
"328","43","2010",2
"329","43","2012",3
"330","43","2013",4
"331","43","2014",24
"332","43","2015",58
"333","44","2008",6
"334","44","2010",6
"335","44","2011",1
"336","44","2012",6
"337","44","2013",6
"338","44","2014",10
"339","44","2015",64
"340","45","2006",1
"341","45","2010",2
"342","45","2011",2
"343","45","2012",3
"344","45","2013",2
"345","45","2014",8
"346","45","2015",81
"347","46","2006",1
"348","46","2009",1
"349","46","2011",5
"350","46","2012",2
"351","46","2013",1
"352","46","2014",16
"353","46","2015",45
"354","47","2011",1
"355","47","2013",6
"356","47","2014",10
"357","47","2015",40
"358","48","2006",8
"359","48","2008",1
"360","48","2009",1
"361","48","2010",1
"362","48","2011",4
"363","48","2012",2
"364","48","2013",3
"365","48","2014",18
"366","48","2015",72
"367","49","2008",2
"368","49","2009",1
"369","49","2011",1
"370","49","2012",7
"371","49","2013",4
"372","49","2014",15
"373","49","2015",45
"374","50","2005",1
"375","50","2006",1
"376","50","2007",3
"377","50","2008",1
"378","50","2010",1
"379","50","2011",4
"380","50","2012",1
"381","50","2013",6
"382","50","2014",6
"383","50","2015",56
"384","51","2008",1
"385","51","2009",1
"386","51","2011",5
"387","51","2012",2
"388","51","2013",2
"389","51","2014",5
"390","51","2015",42
"391","52","2014",1
"392","52","2015",6
